"id","x1","x2","x3","z1","z2","z3","y","x_sum"
1,NA,NA,NA,1.53701786844884,2,1.16141306317082,44.7232969798861,NA
2,NA,0,NA,1.90862516950594,1,0.770792054687715,33.9606997742538,NA
3,4.61047264979446,2,5.77290576766245,1.63808794652191,2,0.984641309185754,39.4701948875953,12.3833784174569
4,NA,NA,5.77290576766245,2.06856548975794,3,3.02026909247487,75.5145491788928,NA
5,NA,2,5.77290576766245,1.92083490086252,1,2.08993793139609,59.6890866542816,NA
6,NA,NA,5.77290576766245,1.88953302389673,4,1.08166787527306,44.1578412224762,NA
7,NA,NA,5.77290576766245,1.65557331771485,1,2.33788022939192,44.5267220172504,NA
8,12.8416471479826,1,5.77290576766245,NA,6,0.539233803466341,51.6591592494357,19.6145529156451
9,NA,3,5.77290576766245,NA,3,0.588780880273425,46.8913190169448,NA
10,NA,NA,NA,NA,2,3.65230029533072,76.2648191593185,NA
11,NA,2,NA,2.20233605074525,0,1.46892114252094,53.2611403316822,NA
12,-2.22404359355082,2,5.77290576766245,1.89421238303861,2,1.02258571413463,38.8226205492543,5.54886217411163
13,-0.735040358877549,3,5.77290576766245,1.61658093582766,1,1.17153587460232,36.9639117900638,8.0378654087849
14,NA,4,5.77290576766245,1.73826436356449,2,1.36509943441085,38.6085594668444,NA
15,NA,5,NA,NA,4,2.25563123169544,66.8739961592751,NA
16,NA,4,5.77290576766245,1.81906189651138,3,0.498088984010207,42.6853683689574,NA
17,3.2199493657587,1,5.77290576766245,NA,0,1.46915274846166,29.449671671201,9.99285513342114
18,NA,4,5.77290576766245,NA,2,2.50397930855774,61.0024243672348,NA
19,NA,1,5.77290576766245,1.67006901988453,0,1.71311120803293,50.4147929942154,NA
20,NA,1,5.77290576766245,2.09698791683421,3,0.972976917239367,50.5091884960797,NA
21,NA,2,5.77290576766245,NA,1,1.91264785933537,44.2128030892127,NA
22,NA,NA,NA,1.75714027898183,4,2.78289321202141,65.4116415276075,NA
23,NA,3,NA,NA,2,2.11719935621332,65.1482951441012,NA
24,4.41720423546895,4,5.77290576766245,1.56372964338406,1,1.11158579068276,35.7925708529419,14.1901100031314
25,NA,NA,5.77290576766245,NA,5,1.01412466913204,52.0860503085708,NA
26,NA,3,5.77290576766245,NA,3,1.88092789589935,68.5888558897596,NA
27,4.6828813109346,0,NA,1.56320242983937,2,0.608640032129906,34.124108726875,NA
28,18.376165031856,NA,5.77290576766245,NA,2,0.825993229312808,62.3220701652815,NA
29,NA,1,5.77290576766245,NA,2,0.216550810184394,36.6492168511548,NA
30,NA,NA,5.77290576766245,NA,4,1.46341474946066,68.8597967247549,NA
31,1.92034255934342,5,5.77290576766245,1.98526289021639,2,0.528917193232945,38.8617411512388,12.6932483270059
32,NA,NA,NA,NA,5,1.67536186698304,49.0821380114304,NA
33,NA,0,NA,1.83747665989905,5,2.42081745094413,59.8527888016412,NA
34,NA,NA,5.77290576766245,1.5941500095207,4,1.16673404569341,44.8360964142631,NA
35,NA,1,NA,1.67341467325722,2,1.99008262632633,49.6049484328766,NA
36,-0.608808939206897,0,NA,1.82345789486507,2,0.392235408635941,24.4867747732996,NA
37,-4.32236026227469,1,5.77290576766245,1.73410120470456,3,1.20601876958087,41.4387568550405,2.45054550538776
38,NA,3,NA,2.1240586473412,2,3.12195279041155,72.6736937612006,NA
39,NA,4,NA,1.64158905269899,2,2.59684774340718,54.483635361785,NA
40,NA,NA,NA,1.95740973215408,3,2.15393475330224,61.6138576971451,NA
41,NA,3,5.77290576766245,NA,2,1.59934956692571,50.5334264254185,NA
42,-2.28492958158767,2,5.77290576766245,1.77750674320003,1,0.472915137383093,31.7114546076482,5.48797618607478
43,0.169679062230934,3,5.77290576766245,2.04503108276398,1,0.521716070572827,36.7137399897967,8.94258482989338
44,NA,NA,NA,NA,3,1.27675734692028,53.9021338017628,NA
45,NA,0,5.77290576766245,1.95510896653926,0,0.572738580411426,35.1439968514491,NA
46,NA,2,5.77290576766245,NA,2,1.52011190560761,47.3703552208575,NA
47,NA,1,5.77290576766245,1.69448845044613,1,0.48242267720397,27.2956417658612,NA
48,NA,NA,5.77290576766245,NA,1,2.45045109959874,55.3044066337477,NA
49,NA,0,NA,2.00174248815413,3,1.01602131329715,52.5810166954583,NA
50,NA,NA,5.77290576766245,1.85256619854202,1,1.72040870380854,44.6760422584428,NA
51,NA,NA,NA,1.66310876608332,3,1.85374469432605,52.9302785493707,NA
52,2.8502022618859,0,5.77290576766245,1.76358310644857,1,0.479874503785863,27.1825823958399,8.62310802954835
53,NA,2,5.77290576766245,2.09944970042716,2,0.122382939218893,23.8468654975427,NA
54,NA,2,5.77290576766245,2.05124608944644,1,0.513638522795162,33.9918307697647,NA
55,NA,NA,5.77290576766245,NA,2,3.81316477750374,81.3586096303872,NA
56,4.72570212292385,2,5.77290576766245,1.74352515704381,2,1.26356781364375,35.6106414305435,12.4986078905863
57,NA,NA,5.77290576766245,NA,3,0.885920631517307,38.7707319918038,NA
58,NA,1,5.77290576766245,NA,1,2.74046152980804,59.4619221092007,NA
59,5.0668641208861,1,5.77290576766245,NA,2,1.72359272658565,55.1390204112238,11.8397698885485
60,NA,3,5.77290576766245,NA,0,3.69130842488544,74.4379044589786,NA
61,1.87228176409541,NA,5.77290576766245,1.4964808082856,0,0.80390121068203,35.9292834057173,NA
62,-1.34939214814052,3,5.77290576766245,1.87070670166396,1,1.29046014096274,36.0183105232975,7.42351361952193
63,NA,NA,5.77290576766245,1.77422541456292,2,1.85222931769742,55.7173758898218,NA
64,NA,NA,NA,NA,3,4.08449871950999,79.1268915523994,NA
65,10.5686661443082,NA,NA,1.9635717052089,1,1.4747266138024,56.0526456595886,NA
66,NA,NA,NA,NA,2,2.81819543736524,71.924523685895,NA
67,NA,NA,NA,NA,3,2.61286120980444,80.3496216237801,NA
68,NA,3,5.77290576766245,1.88637003196265,0,0.999810126586744,50.8471863663516,NA
69,NA,5,NA,1.40872312747908,1,2.45086469187867,58.197881183579,NA
70,NA,NA,NA,1.85038120303441,6,2.65356529440036,69.686988485771,NA
71,NA,NA,5.77290576766245,1.90897503242101,1,2.80867210784697,53.6653682735041,NA
72,7.77073197093947,5,5.77290576766245,NA,1,0.830349697859517,46.5208365343307,18.5436377386019
73,NA,NA,5.77290576766245,1.930987629814,1,1.7487147893626,48.8136666926425,NA
74,NA,NA,5.77290576766245,NA,1,0.822070571466788,50.204809696418,NA
75,NA,NA,NA,NA,3,3.99355510149856,67.2630882205617,NA
76,6.25440749330181,4,5.77290576766245,NA,1,0.701312351220116,47.6921754046704,16.0273132609643
77,NA,4,5.77290576766245,2.07028527077838,1,0.842636289096302,40.2675892221214,NA
78,NA,NA,5.77290576766245,NA,2,3.07769567125509,63.1553794177948,NA
79,NA,4,NA,1.6453915447604,6,0.997012198331856,43.9082476963485,NA
80,NA,NA,5.77290576766245,2.25923810595365,3,0.759213031224997,57.4799815199262,NA
81,NA,1,5.77290576766245,1.38530180695206,1,1.55846799108808,50.0564128202114,NA
82,-3.33239069435485,NA,NA,NA,2,1.73936526103519,48.0923290870299,NA
83,NA,5,5.77290576766245,1.73417330956401,1,1.83549260030769,44.8865036737918,NA
84,NA,NA,NA,1.76731602659754,3,2.45673667586795,67.0887897011547,NA
85,0.809372881994991,2,5.77290576766245,1.57721669246782,2,1.3647951297372,36.6654480483936,8.58227864965744
86,NA,4,5.77290576766245,1.85515957374044,1,1.96619024045713,49.3492701520837,NA
87,NA,NA,5.77290576766245,1.89634527741625,4,0.601651735103542,45.0751275645248,NA
88,NA,NA,NA,1.85044995188732,1,0.860231154447787,59.5383551462883,NA
89,NA,1,5.77290576766245,1.90531900616937,1,0.766110209299637,32.2014936274132,NA
90,NA,2,5.77290576766245,1.56989458987857,1,2.65775936153758,63.5218387335851,NA
91,NA,4,5.77290576766245,1.94544385377293,1,2.27538649824082,56.4583987930097,NA
92,NA,NA,NA,1.71466616555333,0,1.93928226502479,42.5516826338768,NA
93,NA,5,NA,1.89641760606524,3,1.35196673109364,47.0942767600214,NA
94,NA,NA,NA,NA,2,1.82618993317263,55.0560454348474,NA
95,NA,5,5.77290576766245,1.79741557305678,1,0.76103799454525,40.241245473736,NA
96,NA,NA,NA,NA,4,2.35253244429274,73.7216806033339,NA
97,NA,4,5.77290576766245,NA,3,1.66210545145964,54.3121987384003,NA
98,-0.810859076044692,NA,5.77290576766245,1.67439151327068,0,1.09411225038881,37.0325399592755,NA
99,NA,2,5.77290576766245,1.65411179631213,2,0.752953106141667,33.2377075202161,NA
100,-14.8070602398539,4,5.77290576766245,1.56534675522627,3,2.28771572947382,45.1273466132549,-5.03415447219148
101,5.22331489568292,NA,5.77290576766245,1.82113896904415,1,0.585289295341024,32.9547554623127,NA
102,3.69517853904307,NA,5.77290576766245,NA,0,0.684339538816182,31.8466825943415,NA
103,NA,1,5.77290576766245,NA,2,1.45637857855076,48.1051529434098,NA
104,NA,5,5.77290576766245,NA,5,1.44684396237646,70.4566140771368,NA
105,NA,2,5.77290576766245,2.00633417171696,1,0.346598195095841,27.082928700168,NA
106,NA,0,NA,1.82171138961836,2,0.669608658985465,46.1106477639027,NA
107,NA,0,NA,1.58060586394233,0,1.37730866075855,44.3683342676035,NA
108,2.20554367678458,5,5.77290576766245,1.6302107934242,1,1.14226683401441,33.0061390551137,12.978449444447
109,NA,4,NA,NA,3,2.05693497012593,70.1071066333871,NA
110,NA,NA,5.77290576766245,1.98037846658427,3,0.291536813893461,57.2037294444087,NA
111,NA,3,5.77290576766245,1.88548438144102,2,1.39453799001507,33.0350968255556,NA
112,-0.696194905374695,1,5.77290576766245,1.63176383193603,2,0.296244707557922,28.6796265508277,6.07671086228776
113,NA,NA,5.77290576766245,1.9993670326052,1,2.65462388776149,70.3228191213597,NA
114,-2.67940467424282,2,5.77290576766245,1.91355656250757,3,0.416753421423608,26.5348319258345,5.09350109341963
115,NA,5,5.77290576766245,1.73190922540575,3,0.878318094644893,47.2894661691107,NA
116,NA,NA,5.77290576766245,2.0845169194048,1,1.66915604579793,50.2409907125324,NA
117,NA,3,5.77290576766245,NA,3,0.504270870553634,45.1473048508453,NA
118,NA,1,5.77290576766245,1.86681213128007,2,1.39642991653008,46.2665689771705,NA
119,-2.03109591341702,5,5.77290576766245,1.8246499353592,0,0.952942557388582,32.2044907876401,8.74180985424543
120,NA,4,5.77290576766245,1.78828173333818,3,0.794694013521005,42.0479518734616,NA
121,NA,1,5.77290576766245,1.62110419251189,1,1.26531539767292,41.9828455718625,NA
122,10.642466679787,4,5.77290576766245,1.63185854631882,1,1.02357475805685,48.5385093157563,20.4153724474494
123,NA,4,5.77290576766245,1.78423727580252,1,1.67383821365924,45.212812559059,NA
124,NA,2,5.77290576766245,1.59764360174378,3,1.51924350084771,56.9182399606705,NA
125,0.67771245661226,NA,5.77290576766245,2.05204944473681,2,1.11578313911211,46.1977996762892,NA
126,NA,5,5.77290576766245,NA,1,1.91442329302087,49.0235947521846,NA
127,NA,NA,NA,NA,2,4.54705106815111,83.2710913994959,NA
128,NA,3,5.77290576766245,NA,3,1.37803895131956,50.4160080471261,NA
129,-6.87984484328828,0,5.77290576766245,1.43244082163755,2,1.37707594665374,34.3040505733618,-1.10693907562583
130,3.79552657335413,0,5.77290576766245,NA,2,0.997535832253032,37.8136649875578,9.56843234101658
131,NA,5,5.77290576766245,1.89034367997461,1,2.50183135003777,50.6463667698785,NA
132,NA,5,5.77290576766245,1.89697596024686,2,1.58595260889421,49.3747531550892,NA
133,NA,NA,NA,1.84548945764561,1,2.09154021697308,67.7533435212463,NA
134,NA,3,5.77290576766245,NA,2,2.40608797131906,51.315864466792,NA
135,NA,NA,5.77290576766245,1.68831384431744,2,0.439537554191091,45.9128992689522,NA
136,NA,NA,NA,NA,4,1.85720521291224,67.4126212647937,NA
137,NA,NA,5.77290576766245,NA,0,1.12318371589039,49.0001594518081,NA
